Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True
0.49367088607594933,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,False
0.3037974683544304,0.0076080128428840646,0.0003018817294468856,0.0010641920653839604,0.024500178507675833,0.0018232296026188207,True,False,False,False,False,True,False
0.7341772151898734,0.0030013261673762824,0.11994767383356253,0.0,0.2996697607997144,0.002030414784734596,False,True,False,False,False,True,True
0.4177215189873418,0.0,0.04303491765337269,0.015792610250297972,0.14856301320956802,0.007997348029668918,False,True,False,False,False,True,False
0.20253164556962025,0.021148879737558454,0.0023479690068091102,0.006427720074919121,0.025214209210996073,8.287407284631003e-05,True,False,False,False,False,True,False
0.5569620253164557,0.0,0.01620098614698286,0.0,0.012986433416636916,0.0,True,False,False,False,True,False,False
0.3291139240506329,0.0029315278844140435,0.05162177573541744,0.00012770304784607525,0.0,0.0,True,False,False,False,False,True,False
0.35443037974683544,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,True,False
0.4430379746835443,0.0,0.02633079529064502,0.0007236506044610931,0.009639414494823279,0.0,True,False,False,False,False,True,False
0.17721518987341772,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False
0.43037974683544306,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False
0.569620253164557,0.002722133035527326,0.24469191292389225,0.02507236506044611,0.004908961085326669,0.005138192516471222,True,True,False,False,False,False,False
0.4050632911392405,0.005095274656243457,0.0,0.0478035075770475,0.0,0.004682385115816517,True,False,True,False,False,True,False
0.6075949367088608,0.05018496544984993,3.3542414382987286e-05,0.0027668993699982974,0.0,0.0009944888741557204,False,False,False,False,False,True,False
0.35443037974683544,0.000558386263697913,0.03267031160902962,0.000510812191384301,8.925383791503035e-05,0.0002900592549620851,True,False,False,False,False,True,False
0.3924050632911392,0.002233545054791652,0.0,0.03728928997105398,0.0,0.0,False,False,False,False,False,True,False
0.34177215189873417,0.08976059188943952,0.004092174554724449,0.0,0.0,0.0,False,False,True,False,False,False,False
0.3037974683544304,0.0,3.3542414382987286e-05,0.0,0.0,0.026395392201549746,False,False,False,False,False,False,False
0.569620253164557,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,True,False
0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False
0.17721518987341772,0.02875689258044252,0.0,4.256768261535842e-05,0.0,0.028135747731322255,False,False,False,False,False,False,False
0.012658227848101266,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,False
0.620253164556962,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False
0.3670886075949367,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False
0.12658227848101267,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False
0.012658227848101266,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True,False,False
0.08860759493670886,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False
0.26582278481012656,0.06840231730299434,6.708482876597457e-05,0.002937170100459731,0.0,0.0,False,False,True,False,False,True,False
0.7848101265822784,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False,True,False
0.18987341772151897,0.0,0.00754704323617214,0.0,0.044537665119600146,0.0,False,False,False,False,False,True,False
